registro,v1,v2_v6,v7,v8,v1_norm,v2_v6_norm,v7_norm,v8_norm,IRD
143857,5,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.2631578947368421
143859,4,39.0,0.0,0.0,0.21052631578947367,0.04566744730679157,0.0,0.0,0.4616972759768273
143861,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143863,7,11.0,0.0,0.0,0.3684210526315789,0.01288056206088993,0.0,0.0,0.4392641439664735
143867,5,5.0,0.0,0.0,0.2631578947368421,0.00585480093676815,0.0,0.0,0.2953592998890669
143868,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143869,2,1.0,0.0,0.0,0.10526315789473684,0.00117096018735363,0.0,0.0,0.11170343892518181
143871,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143872,2,6.0,0.0,0.0,0.10526315789473684,0.00702576112412178,0.0,0.0,0.1439048440774066
143875,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143878,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143882,6,5.0,0.0,0.0,0.3157894736842105,0.00585480093676815,0.0,0.0,0.3479908788364354
143889,3,1.0,0.0,0.0,0.15789473684210525,0.00117096018735363,0.0,0.0,0.16433501787255025
143890,4,11.0,0.0,0.0,0.21052631578947367,0.01288056206088993,0.0,0.0,0.2813694071243683
143891,7,67.0,1.0,0.0,0.3684210526315789,0.07845433255269321,0.07692307692307693,0.0,0.9537660355175455
143896,4,8.0,0.0,0.0,0.21052631578947367,0.00936768149882904,0.0,0.0,0.2620485640330334
143900,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143905,3,1.0,0.0,0.0,0.15789473684210525,0.00117096018735363,0.0,0.0,0.16433501787255025
143906,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143908,6,0.0,0.0,0.0,0.3157894736842105,0.0,0.0,0.0,0.3157894736842105
143913,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
143914,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143915,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143916,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143923,3,4.0,0.0,0.0,0.15789473684210525,0.00468384074941452,0.0,0.0,0.18365586096388511
143926,8,16.0,0.0,0.0,0.42105263157894735,0.01873536299765808,0.0,0.0,0.5240971280660668
143931,6,12.0,0.0,0.0,0.3157894736842105,0.01405152224824356,0.0,0.0,0.3930728460495502
143932,2,14.0,0.0,0.0,0.10526315789473684,0.01639344262295082,0.0,0.0,0.19542709232096636
143934,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143939,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143942,5,4.0,0.0,0.0,0.2631578947368421,0.00468384074941452,0.0,0.0,0.2889190188586219
143947,5,22.0,0.0,0.0,0.2631578947368421,0.02576112412177986,0.0,0.0,0.40484407740663136
143949,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143952,4,3.0,0.0,0.0,0.21052631578947367,0.00351288056206089,0.0,0.0,0.2298471588808086
143957,10,46.0,0.0,0.0,0.5263157894736842,0.053864168618266976,0.0,0.0,0.8225687168741526
143963,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143966,10,52.0,0.0,0.0,0.5263157894736842,0.06088992974238876,0.0,0.0,0.8612104030568224
143967,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143970,5,134.0,2.0,1.0,0.2631578947368421,0.15690866510538642,0.15384615384615385,0.1,1.5838478605087754
143971,4,16.0,0.0,0.0,0.21052631578947367,0.01873536299765808,0.0,0.0,0.3135708122765931
143973,3,1.0,0.0,0.0,0.15789473684210525,0.00117096018735363,0.0,0.0,0.16433501787255025
143975,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143976,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
143978,2,1.0,0.0,0.0,0.10526315789473684,0.00117096018735363,0.0,0.0,0.11170343892518181
143979,3,1.0,0.0,0.0,0.15789473684210525,0.00117096018735363,0.0,0.0,0.16433501787255025
143985,3,1.0,0.0,0.0,0.15789473684210525,0.00117096018735363,0.0,0.0,0.16433501787255025
143986,4,9.0,0.0,0.0,0.21052631578947367,0.01053864168618267,0.0,0.0,0.26848884506347837
143987,2,1.0,0.0,0.0,0.10526315789473684,0.00117096018735363,0.0,0.0,0.11170343892518181
143989,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
143992,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
143997,4,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.21052631578947367
143998,4,39.0,1.0,1.0,0.21052631578947367,0.04566744730679157,0.07692307692307693,0.1,0.7655434298229812
144000,2,20.0,0.0,0.0,0.10526315789473684,0.0234192037470726,0.0,0.0,0.23406877850363617
144002,7,55.0,1.0,1.0,0.3684210526315789,0.06440281030444965,0.07692307692307693,0.1,1.026482663152206
144005,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
144007,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
144008,2,3.0,0.0,0.0,0.10526315789473684,0.00351288056206089,0.0,0.0,0.12458400098607174
144009,5,10.0,0.0,0.0,0.2631578947368421,0.0117096018735363,0.0,0.0,0.32756070504129176
144012,4,0.0,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.21052631578947367
144017,7,8.0,0.0,0.0,0.3684210526315789,0.00936768149882904,0.0,0.0,0.4199433008751386
144018,10,1.0,0.0,0.0,0.5263157894736842,0.00117096018735363,0.0,0.0,0.5327560705041291
144019,8,17.0,0.0,0.0,0.42105263157894735,0.01990632318501171,0.0,0.0,0.5305374090965118
144020,4,2.0,0.0,0.0,0.21052631578947367,0.00234192037470726,0.0,0.0,0.22340687785036362
144023,8,11.0,0.0,0.0,0.42105263157894735,0.01288056206088993,0.0,0.0,0.491895722913842
144024,9,28.0,0.0,0.0,0.47368421052631576,0.03278688524590164,0.0,0.0,0.6540120793787749
144025,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
144027,2,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684
144030,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
144031,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
144032,7,2.0,0.0,0.0,0.3684210526315789,0.00234192037470726,0.0,0.0,0.38130161469246887
144034,5,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.2631578947368421
144036,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
144040,5,19.0,0.0,0.0,0.2631578947368421,0.02224824355971897,0.0,0.0,0.38552323431529645
144041,4,9.0,0.0,0.0,0.21052631578947367,0.01053864168618267,0.0,0.0,0.26848884506347837
144042,5,24.0,0.0,0.0,0.2631578947368421,0.02810304449648712,0.0,0.0,0.41772463946752125
144044,5,35.0,1.0,0.0,0.2631578947368421,0.040983606557377046,0.07692307692307693,0.0,0.6424138846485696
144045,1,1.0,0.0,0.0,0.05263157894736842,0.00117096018735363,0.0,0.0,0.05907185997781338
144047,4,1.0,0.0,0.0,0.21052631578947367,0.00117096018735363,0.0,0.0,0.21696659681991864
144049,2,1.0,0.0,0.0,0.10526315789473684,0.00117096018735363,0.0,0.0,0.11170343892518181
144058,4,8.0,0.0,0.0,0.21052631578947367,0.00936768149882904,0.0,0.0,0.2620485640330334
144065,5,12.0,0.0,0.0,0.2631578947368421,0.01405152224824356,0.0,0.0,0.3404412671021817
144066,6,2.0,0.0,0.0,0.3157894736842105,0.00234192037470726,0.0,0.0,0.3286700357451005
144068,2,5.0,0.0,0.0,0.10526315789473684,0.00585480093676815,0.0,0.0,0.13746456304696167
144069,1,2.0,0.0,0.0,0.05263157894736842,0.00234192037470726,0.0,0.0,0.06551214100825835
144073,1,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842
144079,7,62.0,0.0,0.0,0.3684210526315789,0.07259953161592506,0.0,0.0,0.7677184765191668
144080,5,2.0,0.0,0.0,0.2631578947368421,0.00234192037470726,0.0,0.0,0.27603845679773203
144082,2,4.0,0.0,0.0,0.10526315789473684,0.00468384074941452,0.0,0.0,0.1310242820165167
144083,2,1.0,0.0,0.0,0.10526315789473684,0.00117096018735363,0.0,0.0,0.11170343892518181
144084,4,11.0,0.0,0.0,0.21052631578947367,0.01288056206088993,0.0,0.0,0.2813694071243683
